author_id_from,author_screen_name_from,status_id,to,edge_type
1194654661447434243,GWIDDP,1354453504094580736,infodemic,hashtag
1194654661447434243,GWIDDP,1354453504094580736,misinfodemic,hashtag
1194654661447434243,GWIDDP,1354107364937523201,extremism,hashtag
1194654661447434243,GWIDDP,1339609849924100097,SMPA,hashtag
1194654661447434243,GWIDDP,1334579934937944073,misinformation,hashtag
1194654661447434243,GWIDDP,1328377205961990147,CovidVaccine,hashtag
1194654661447434243,GWIDDP,1323329990440685579,ElectionDay,hashtag
1194654661447434243,GWIDDP,1321831885182480384,Elections2020,hashtag
1194654661447434243,GWIDDP,1318966023689805834,COVID19,hashtag
1194654661447434243,GWIDDP,1316022882556731393,COVID19,hashtag
1194654661447434243,GWIDDP,1314254852604792832,COVID19,hashtag
1194654661447434243,GWIDDP,1314254852604792832,democracy,hashtag
1194654661447434243,GWIDDP,1313549530378498049,freeexpression,hashtag
1194654661447434243,GWIDDP,1313549530378498049,Election2020,hashtag
1194654661447434243,GWIDDP,1313549530378498049,knightresearch,hashtag
1194654661447434243,GWIDDP,1308527947133919234,GWU,hashtag
1194654661447434243,GWIDDP,1306631202875551745,AdObservatory,hashtag
1194654661447434243,GWIDDP,1306631202875551745,reporters,hashtag
1194654661447434243,GWIDDP,1305895423903662081,AdObservatory,hashtag
1194654661447434243,GWIDDP,1305895423903662081,PoliticalAds,hashtag
1194654661447434243,GWIDDP,1303722395635724288,2020elections,hashtag
1194654661447434243,GWIDDP,1300796677046054918,COVID19,hashtag
1194654661447434243,GWIDDP,1295791432968605698,HealthyYou,hashtag
1194654661447434243,GWIDDP,1295512676802662403,SMPA,hashtag
1194654661447434243,GWIDDP,1295393678652067841,US2020,hashtag
1194654661447434243,GWIDDP,1292818532460306433,COVID19,hashtag
1194654661447434243,GWIDDP,1292818532460306433,Misinformation,hashtag
1194654661447434243,GWIDDP,1291391088893329408,LGBTQ,hashtag
1194654661447434243,GWIDDP,1288153440439414784,NATO,hashtag
1194654661447434243,GWIDDP,1288153440439414784,disinformation,hashtag
1194654661447434243,GWIDDP,1280515730950193152,coronavirus,hashtag
1194654661447434243,GWIDDP,1280515222667747330,COVID19,hashtag
1194654661447434243,GWIDDP,1280515104589713409,Plandemic,hashtag
1194654661447434243,GWIDDP,1277635462337900550,LIVE,hashtag
164878430,yangyunkang,1308509672903716864,polcomm,hashtag
164878430,yangyunkang,1171634962027745280,socialmedia,hashtag
164878430,yangyunkang,1103447784567402496,FoxNews,hashtag
164878430,yangyunkang,1037796444449660928,JMCQ,hashtag
164878430,yangyunkang,1037796444449660928,BookReview,hashtag
164878430,yangyunkang,1036109310617690112,polcomm,hashtag
164878430,yangyunkang,1036109310617690112,APSA2018,hashtag
164878430,yangyunkang,1035975001898450946,APSA2018,hashtag
164878430,yangyunkang,1035975001898450946,readinglist,hashtag
164878430,yangyunkang,1035667363960709121,APSA2018,hashtag
164878430,yangyunkang,1035390513334181888,APSA2018,hashtag
164878430,yangyunkang,1025784843785785344,wiredarchive,hashtag
164878430,yangyunkang,1025784843785785344,QAnon,hashtag
164878430,yangyunkang,960440390082940929,RewardsPoints,hashtag
164878430,yangyunkang,960440284415840256,RewardsPoints,hashtag
164878430,yangyunkang,960440153742311425,RewardsPoints,hashtag
164878430,yangyunkang,942669013078777856,RewardsPoints,hashtag
164878430,yangyunkang,637856362211373056,Beijing2015,hashtag
164878430,yangyunkang,525196130960035840,GMAC,hashtag
164878430,yangyunkang,464054175051956224,Shanghai,hashtag
164878430,yangyunkang,464054175051956224,Chinese,hashtag
164878430,yangyunkang,464054175051956224,Western,hashtag
164878430,yangyunkang,464054175051956224,opera,hashtag
1641558816,redheadacademic,1369034402823614466,COVID19,hashtag
1641558816,redheadacademic,1368383056420233218,COVID19,hashtag
1641558816,redheadacademic,1368370915629797379,VCUwomenmakinghistory,hashtag
1641558816,redheadacademic,1368370915629797379,WomensHistoryMonth2021,hashtag
1641558816,redheadacademic,1368009873317896194,VCUwomenmakinghistory,hashtag
1641558816,redheadacademic,1368009873317896194,WomensHistoryMonth2021,hashtag
1641558816,redheadacademic,1367653745291624455,VCUwomenmakinghistory,hashtag
1641558816,redheadacademic,1367653745291624455,WomensHistoryMonth2021,hashtag
